아이디,국가별,성별,연령별,문1. 주요 방한 목적,한국 방문횟수(카테고리),문1-1. 한국여행 관심 계기_1,문3-1. 고려한 관광활동_1,문3-2. 고려한 관광인프라_1,"문10. 1인 1일 지출경비(상하위 1% 대체, 61일 이상 결측)",문9-3. 총 체재기간_61일 이상 결측,문9-5. 주요 이용 숙박시설_1,문9-5. 주요 이용 숙박시설_2,문9-5. 주요 이용 숙박시설_3,문9-5. 주요 이용 숙박시설_4,문9-5. 주요 이용 숙박시설_5,문9-5. 주요 이용 숙박시설_6,문9-5. 주요 이용 숙박시설_7,문9-5. 주요 이용 숙박시설_8,문9-5. 주요 이용 숙박시설_9,문9-5. 숙박시설별 숙박기간_호텔,문9-5. 숙박시설별 숙박기간_모텔/여관,문9-5. 숙박시설별 숙박기간_콘도미니엄/리조트,문9-5. 숙박시설별 숙박기간_게스트하우스/호스텔,문9-5. 숙박시설별 숙박기간_민박/펜션,"문9-5. 숙박시설별 숙박기간_학교/회사 기숙사, 연수원 등",문9-5. 숙박시설별 숙박기간_친척 또는 친구 집,문9-5. 숙박시설별 숙박기간_기타,숙박시설_그룹,여행동반자_그룹,방문 지역 수,주요 체재 지역
154,2,1,2,1,1,4.0,10.0,3.0,154.78,5.0,1.0,2.0,,,,,,,,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,친구형,2,부산
157,1,2,2,1,1,9.0,6.0,6.0,145.392,5.0,1.0,,,,,,,,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,친구형,1,서울
158,97,1,3,1,1,1.0,11.0,10.0,109.47,5.0,,,,4.0,,,,,,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,게스트하우스/호스텔,친구형,1,서울
159,2,2,6,1,4,7.0,8.0,4.0,195.25,8.0,1.0,,,,,,,,,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,혼자형,1,서울
162,97,1,4,1,1,1.0,9.0,5.0,133.5534,5.0,,,,4.0,,,,,,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,게스트하우스/호스텔,친구형,1,서울
164,13,1,3,1,1,5.0,2.0,11.0,213.333333333333,5.0,1.0,,,,,,,,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,가족형,1,서울
165,3,2,2,1,1,7.0,12.0,3.0,174.42,5.0,1.0,,,,,,,,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,단체형,2,부산
166,3,1,5,1,1,1.0,1.0,1.0,124.032,5.0,1.0,,,,,,,,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,단체형,2,경북
167,11,1,6,1,4,5.0,14.0,7.0,664.0,10.0,1.0,,,,,,,,,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,혼자형,1,경기
168,3,1,4,1,1,4.0,5.0,3.0,187.34,5.0,1.0,,,,,,,,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,단체형,2,부산
