아이디,국가별,성별,연령별,한국 방문횟수(카테고리),문1-1. 한국여행 관심 계기_1,문3-1. 고려한 관광활동_1,문3-2. 고려한 관광인프라_1,"문10. 1인 1일 지출경비(상하위 1% 대체, 61일 이상 결측)",문9-3. 총 체재기간_61일 이상 결측,숙박시설_그룹,여행동반자_그룹,방문 지역 수,주요 체재 지역,식비_비율,국내 교통비_비율,체험/활동비_비율,뷰티/의료비_비율,여행 서비스비_비율,숙박비_비율,쇼핑비_비율,기타 비용_비율
8015,1,2,3,2,6,5.0,3,2,2.0,호텔,혼자형,1,서울,0.103,0.0343053173241852,0.2058319039451116,0.0,0.0,0.6003430531732419,0.0514579759862777,0.0051457975986277
8017,3,2,2,1,7,3.0,5,2,2.0,호텔,직장형,1,부산,0.0,0.0,0.0,0.0,0.7292418772563177,0.0,0.2707581227436823,0.0
8018,1,2,4,2,7,3.0,2,2,3.0,호텔,친구형,1,서울,0.208,0.0520833333333333,0.0,0.0,0.0,0.2083333333333334,0.5208333333333333,0.0104166666666666
8020,3,2,5,1,4,4.0,4,2,2.0,호텔,복합형(가족+친구),1,부산,0.02,0.0,0.0,0.0,0.5931232091690545,0.0,0.3868194842406876,0.0
8021,1,2,3,1,7,1.0,1,2,2.0,호텔,혼자형,1,서울,0.381,0.0761904761904762,0.0,0.0571428571428571,0.0,0.2857142857142852,0.1904761904761901,0.0095238095238095
8023,3,2,3,2,2,1.0,1,2,2.0,호텔,단체형,2,부산,0.0,0.0,0.0,0.0,0.7482014388489209,0.0,0.2517985611510792,0.0
8026,1,2,3,4,4,10.0,3,4,3.0,호텔,친구형,1,서울,0.015,0.0595592614651577,0.0,0.0,0.0,0.0297796307325789,0.8933889219773676,0.0023823704586063
8027,97,1,3,1,1,4.0,6,3,2.0,호텔,혼자형,1,서울,0.404,0.0514705882352941,0.0147058823529411,0.0,0.0,0.2941176470588235,0.2205882352941176,0.0147058823529411
8028,3,2,2,1,4,1.0,6,2,2.0,호텔,가족형,1,서울,0.266,0.0797872340425533,0.0053191489361702,0.0,0.0,0.3723404255319144,0.2659574468085112,0.0106382978723404
8029,3,1,3,1,1,5.0,6,2,2.0,호텔,가족형,1,서울,0.366,0.0609756097560975,0.0060975609756097,0.0,0.0,0.3658536585365858,0.1829268292682927,0.0182926829268292
8032,97,2,3,1,1,3.0,6,2,3.0,호텔,가족형,1,서울,0.448,0.0413793103448275,0.0137931034482758,0.0,0.0,0.3448275862068966,0.1379310344827586,0.0137931034482758
8033,3,2,5,3,4,2.0,3,3,3.0,민박/펜션,복합형(가족+친구),2,서울,0.16,0.0267379679144385,0.0013368983957219,0.0,0.0,0.1336898395721925,0.6684491978609626,0.0093582887700534
8034,3,2,4,2,6,3.0,3,2,2.0,호텔,단체형,1,부산,0.183,0.0181598062953995,0.0348062953995157,0.072639225181598,0.0,0.1392251815980633,0.5447941888619855,0.0072639225181598
8035,97,1,2,1,1,4.0,6,3,2.0,호텔,친구형,1,서울,0.342,0.0342465753424657,0.0547945205479451,0.0,0.0,0.3424657534246574,0.2054794520547944,0.0205479452054794
8036,3,2,5,2,5,1.0,5,2,2.0,호텔,단체형,1,부산,0.0,0.0,0.0,0.0,0.6212624584717609,0.0,0.3654485049833886,0.0132890365448504
8040,97,2,2,1,1,4.0,6,3,2.0,호텔,친구형,1,서울,0.361,0.0393442622950819,0.0622950819672131,0.0,0.0,0.3278688524590164,0.1967213114754098,0.0131147540983606
8042,20,2,2,1,4,2.0,6,3,3.0,호텔,친구형,1,서울,0.186,0.186046511627907,0.0232558139534883,0.0,0.0,0.4651162790697675,0.1395348837209302,0.0
8043,3,1,2,1,1,3.0,6,2,2.0,호텔,친구형,2,부산,0.275,0.065,0.0499999999999999,0.0,0.0,0.3,0.2749999999999999,0.0349999999999999
8044,5,2,2,3,2,5.0,6,2,2.0,기타,친구형,1,서울,0.219,0.1639344262295078,0.0,0.0,0.0,0.1639344262295078,0.4371584699453555,0.0163934426229507
8045,2,1,5,4,4,4.0,6,4,2.0,호텔,가족형,1,서울,0.015,0.0,0.0,0.0,0.8955223880597015,0.0,0.0895522388059701,0.0
8046,20,2,2,1,6,8.0,6,3,3.0,호텔,친구형,1,서울,0.438,0.09375,0.03125,0.0,0.0,0.125,0.3125,0.0
8048,2,2,3,4,2,1.0,4,2,3.0,호텔,친구형,1,서울,0.222,0.045267489711934,0.0082304526748971,0.0,0.0,0.4938271604938271,0.205761316872428,0.0246913580246912
8049,14,1,2,1,1,4.0,3,4,3.0,호텔,친구형,3,서울,0.102,0.1506024096385542,0.0120481927710843,0.0,0.0,0.6024096385542165,0.072289156626506,0.0602409638554216
8051,14,2,5,1,6,5.0,6,2,4.0,호텔,친구형,4,서울,0.238,0.1484593837535014,0.011204481792717,0.0560224089635854,0.0,0.3641456582633053,0.1400560224089636,0.042016806722689
8057,3,1,5,1,5,4.0,4,2,2.0,호텔,단체형,1,부산,0.022,0.0,0.0,0.0,0.6006289308176102,0.0,0.3773584905660376,0.0
8059,3,1,5,2,4,1.0,5,2,2.0,호텔,단체형,2,부산,0.0,0.0,0.0,0.0,0.6084828711256118,0.0,0.3915171288743883,0.0
8060,13,2,2,1,1,10.0,6,2,3.0,호텔,친구형,1,서울,0.256,0.0384615384615384,0.0512820512820512,0.0,0.0,0.3205128205128205,0.3205128205128205,0.0128205128205128
8061,7,2,2,1,1,4.0,3,2,3.0,게스트하우스/호스텔,친구형,2,서울,0.318,0.1928640308582449,0.0964320154291222,0.0,0.0,0.1301832208293151,0.2410800385728063,0.0212150433944068
8062,19,2,3,4,2,6.0,6,3,3.0,호텔,혼자형,1,서울,0.256,0.0284090909090909,0.0795454545454545,0.0,0.0,0.5681818181818182,0.0568181818181818,0.0113636363636363
8063,1,2,2,1,6,1.0,3,2,2.0,호텔,친구형,1,서울,0.165,0.0751879699248119,0.0,0.0,0.0,0.5263157894736842,0.2255639097744356,0.0075187969924812
8064,1,2,2,1,1,5.0,3,2,3.0,민박/펜션,혼자형,1,서울,0.31,0.0387596899224806,0.0232558139534883,0.0,0.0,0.3100775193798449,0.3100775193798449,0.0077519379844961
8065,2,2,3,4,5,3.0,6,4,2.0,호텔,가족형,2,서울,0.328,0.046875,0.0,0.0,0.0,0.625,0.0,0.0
8066,13,1,2,1,1,1.0,1,2,2.0,호텔,친구형,1,서울,0.37,0.037037037037037,0.0592592592592592,0.0,0.0,0.2962962962962963,0.2222222222222222,0.0148148148148148
8067,3,2,2,1,5,10.0,4,2,2.0,호텔,친구형,1,부산,0.349,0.1007751937984496,0.1550387596899224,0.0,0.0,0.3643410852713178,0.0,0.0310077519379844
8069,13,2,5,1,1,3.0,3,2,2.0,호텔,가족형,1,서울,0.405,0.054054054054054,0.0,0.0,0.0,0.3603603603603603,0.1801801801801801,0.0
8070,97,2,3,1,1,10.0,2,4,2.0,호텔,친구형,1,서울,0.216,0.0459016393442623,0.0163934426229508,0.0,0.0,0.3278688524590164,0.3934426229508197,0.0
8071,3,2,2,1,7,3.0,3,4,3.0,게스트하우스/호스텔,친구형,3,서울,0.295,0.0350980623354164,0.066816020123413,0.0353731871241598,0.0,0.1807962897457065,0.373383641866132,0.0137562394371733
8072,4,2,3,1,6,4.0,6,3,4.0,기타,단체형,2,서울,0.147,0.0628930817610062,0.0062893081761006,0.1467505241090146,0.0,0.4192872117400419,0.2096436058700209,0.0083857442348008
8075,13,1,3,1,1,2.0,6,2,3.0,호텔,친구형,1,서울,0.32,0.04,0.064,0.0,0.0,0.4,0.16,0.016
8076,10,2,2,1,1,3.0,4,2,3.0,게스트하우스/호스텔,가족형,1,서울,0.345,0.0862068965517241,0.0,0.0,0.0,0.3448275862068965,0.2068965517241379,0.0172413793103448
8077,2,2,2,4,3,2.0,4,2,2.0,호텔,가족형,1,서울,0.237,0.043859649122807,0.0175438596491228,0.0,0.0,0.5263157894736842,0.175438596491228,0.0
8078,13,2,4,1,1,5.0,6,2,2.0,호텔,친구형,1,서울,0.351,0.0350877192982456,0.0701754385964912,0.0,0.0,0.3508771929824561,0.175438596491228,0.0175438596491228
8081,13,2,3,1,1,4.0,6,2,2.0,호텔,혼자형,1,서울,0.273,0.0545454545454545,0.0181818181818181,0.0,0.0,0.3636363636363636,0.2727272727272727,0.0181818181818181
8082,10,2,4,4,5,2.0,3,2,3.0,호텔,혼자형,1,서울,0.077,0.0,0.0,0.0,0.6923076923076923,0.0,0.2307692307692307,0.0
8084,10,1,4,3,2,2.0,6,3,3.0,호텔,가족형,2,서울,0.168,0.0560224089635854,0.0140056022408963,0.0,0.0,0.1960784313725491,0.5602240896358541,0.0056022408963585
8085,16,1,2,1,1,4.0,6,3,3.0,게스트하우스/호스텔,혼자형,2,서울,0.377,0.0251572327044025,0.0062893081761006,0.0,0.0,0.3773584905660377,0.1886792452830188,0.0251572327044025
8086,2,2,2,2,7,2.0,4,2,1.0,호텔,가족형,1,서울,0.157,0.0284765068818225,0.0,0.0,0.5695301376364503,0.0,0.2373042240151869,0.0080683436165163
8088,13,1,2,1,1,4.0,6,2,3.0,호텔,친구형,1,서울,0.385,0.0329670329670329,0.0494505494505494,0.0,0.0,0.2472527472527472,0.2747252747252747,0.0109890109890109
8090,19,2,3,1,6,6.0,1,2,3.0,게스트하우스/호스텔,친구형,3,서울,0.426,0.2941176470588241,0.0808823529411764,0.0,0.0,0.1102941176470587,0.0588235294117646,0.0294117647058822
8091,2,2,2,2,4,3.0,5,2,2.0,호텔,친구형,2,부산,0.286,0.0561224489795918,0.0,0.0,0.0,0.3061224489795918,0.336734693877551,0.0153061224489795
8092,1,2,5,1,5,2.0,3,2,2.0,호텔,혼자형,2,서울,0.333,0.0,0.0,0.0,0.5,0.0,0.1666666666666666,0.0
8093,2,2,2,4,6,10.0,4,3,1.0,호텔,혼자형,1,서울,0.054,0.0155038759689922,0.62015503875969,0.0,0.0,0.1550387596899225,0.1550387596899225,0.0
8094,2,1,6,4,7,9.0,4,3,1.0,호텔,친구형,1,인천,0.117,0.0078125,0.78125,0.0,0.0,0.046875,0.046875,0.0
8095,13,2,3,2,2,4.0,6,2,3.0,호텔,친구형,1,서울,0.297,0.0396039603960396,0.0561056105610561,0.0,0.0,0.33003300330033,0.264026402640264,0.0132013201320132
8096,2,1,4,1,4,1.0,6,2,1.0,호텔,친구형,1,서울,0.356,0.0633245382585752,0.0197889182058047,0.0,0.0,0.395778364116095,0.1319261213720316,0.0329815303430079
8097,2,1,4,4,7,1.0,6,2,1.0,호텔,친구형,1,서울,0.201,0.0522088353413654,0.0,0.0,0.0,0.321285140562249,0.4016064257028112,0.0240963855421686
8098,2,2,5,3,4,4.0,5,2,2.0,호텔,단체형,2,부산,0.006,0.0,0.0,0.0,0.5419354838709678,0.0,0.4193548387096774,0.032258064516129
8100,13,1,3,1,1,4.0,3,2,2.0,호텔,혼자형,1,서울,0.086,0.1142857142857142,0.0571428571428571,0.0,0.0,0.1428571428571428,0.5714285714285714,0.0285714285714285
8101,2,2,6,4,2,2.0,3,2,2.0,호텔,복합형(가족+친구),1,부산,0.255,0.0306122448979591,0.0,0.0,0.0,0.2040816326530612,0.5102040816326531,0.0
8104,2,1,2,1,6,3.0,6,2,2.0,호텔,친구형,1,부산,0.42,0.0399999999999999,0.0,0.0,0.0,0.3000000000000002,0.2400000000000005,0.0
8105,13,2,2,1,1,1.0,6,2,3.0,호텔,가족형,1,서울,0.352,0.0277777777777777,0.0555555555555555,0.0,0.0,0.2777777777777778,0.2777777777777778,0.0092592592592592
8106,2,2,2,3,2,10.0,6,2,4.0,호텔,혼자형,1,서울,0.073,0.0099667774086378,0.0,0.3654485049833887,0.0,0.4318936877076412,0.0996677740863787,0.0199335548172757
8107,2,2,2,4,7,7.0,7,4,1.0,호텔,혼자형,1,서울,0.023,0.003607666290868,0.0,0.789177001127396,0.1578354002254788,0.0,0.0225479143179255,0.0042841037204058
8108,13,2,5,1,1,5.0,2,2,3.0,호텔,가족형,1,서울,0.343,0.0686274509803921,0.0,0.0,0.0,0.392156862745098,0.196078431372549,0.0
8110,3,2,3,4,6,2.0,3,4,2.0,호텔,친구형,1,서울,0.046,0.0200617283950617,0.0,0.0,0.0,0.154320987654321,0.771604938271605,0.007716049382716
8112,2,2,2,4,4,10.0,5,3,1.0,호텔,가족형,1,서울,0.056,0.009685230024213,0.0,0.7263922518159807,0.0,0.0581113801452784,0.1452784503631961,0.0048426150121065
8113,1,2,5,3,4,2.0,1,3,2.0,호텔,가족형,1,부산,0.15,0.0128755364806866,0.0,0.0858369098712448,0.0,0.2360515021459227,0.5150214592274679,0.0
8114,9,1,5,4,2,8.0,6,2,3.0,호텔,혼자형,1,서울,0.353,0.0106007067137809,0.0494699646643109,0.0,0.0,0.3533568904593639,0.2120141342756183,0.0212014134275618
8119,2,1,3,4,2,1.0,6,2,1.0,호텔,친구형,1,서울,0.148,0.0148148148148148,0.0,0.0,0.4444444444444444,0.0,0.3703703703703703,0.0222222222222222
8120,4,1,2,1,1,4.0,6,3,3.0,호텔,가족형,1,서울,0.33,0.0434782608695652,0.0521739130434782,0.0,0.0,0.3043478260869565,0.2608695652173913,0.008695652173913
8121,4,2,3,1,1,1.0,2,3,3.0,게스트하우스/호스텔,가족형,1,서울,0.374,0.053475935828877,0.0695187165775401,0.0,0.0,0.267379679144385,0.213903743315508,0.0213903743315508
8122,4,1,2,1,1,6.0,5,2,4.0,친척 또는 친구 집,단체형,4,서울,0.625,0.125,0.0,0.0,0.0,0.0,0.25,0.0
8124,4,2,2,1,1,1.0,1,3,3.0,호텔,친구형,1,서울,0.283,0.0566037735849056,0.0754716981132075,0.0,0.0,0.2830188679245283,0.2830188679245283,0.0188679245283018
8126,6,2,4,1,4,3.0,4,2,2.0,호텔,복합형(가족+친구),1,부산,0.017,0.0,0.0,0.0,0.6166666666666667,0.0,0.3666666666666666,0.0
8129,6,1,4,1,4,4.0,6,2,2.0,호텔,직장형,1,부산,0.01,0.0,0.0,0.0,0.5967213114754099,0.0,0.3934426229508196,0.0
8130,6,1,3,1,5,3.0,3,2,2.0,호텔,가족형,2,부산,0.25,0.0520156046814044,0.0338101430429128,0.0338101430429128,0.0,0.3120936280884264,0.3120936280884264,0.0065019505851755
8134,13,2,2,1,1,1.0,6,2,3.0,호텔,친구형,1,서울,0.292,0.0437956204379562,0.0656934306569343,0.0,0.0,0.364963503649635,0.218978102189781,0.0145985401459854
8135,13,2,4,1,1,4.0,6,2,3.0,호텔,가족형,1,서울,0.323,0.032258064516129,0.0516129032258064,0.0,0.0,0.2580645161290322,0.3225806451612903,0.0129032258064516
8136,13,1,2,1,1,5.0,1,2,3.0,호텔,친구형,1,서울,0.293,0.0418410041841004,0.0627615062761506,0.0,0.0,0.3347280334728033,0.2510460251046025,0.0167364016736401
8146,4,2,2,1,3,2.0,4,2,4.0,호텔,가족형,1,서울,0.357,0.0194805194805194,0.0,0.0,0.0,0.4545454545454545,0.1298701298701298,0.0389610389610389
8155,9,1,2,1,6,4.0,4,2,2.0,호텔,친구형,2,경남,0.316,0.0790960451977401,0.0451977401129943,0.0,0.0,0.3389830508474576,0.2033898305084746,0.0169491525423728
8157,7,2,3,1,4,4.0,4,2,2.0,호텔,단체형,2,부산,0.016,0.0,0.0,0.0,0.6018136850783182,0.0,0.3709810387469084,0.010717230008244
8158,7,1,3,2,4,3.0,6,2,2.0,호텔,직장형,2,경북,0.066,0.0,0.0,0.0,0.7924528301886792,0.0,0.1415094339622641,0.0
8159,7,1,2,1,6,10.0,6,2,2.0,호텔,친구형,1,부산,0.348,0.0,0.0993788819875776,0.0,0.0,0.248447204968944,0.2857142857142856,0.0186335403726708
8163,3,1,4,1,7,10.0,3,2,2.0,호텔,친구형,1,부산,0.0,0.0,0.0,0.0,0.7461538461538462,0.0,0.2115384615384615,0.0423076923076923
8164,3,2,1,4,7,10.0,4,2,2.0,호텔,가족형,1,부산,0.005,0.0,0.0,0.0,0.4684210526315789,0.0,0.4210526315789473,0.1052631578947368
8165,3,1,2,2,5,3.0,3,4,2.0,호텔,가족형,1,부산,0.009,0.0,0.0,0.0,0.8910447761194029,0.0,0.0895522388059701,0.0104477611940298
8167,3,2,3,4,7,3.0,6,1,4.0,호텔,가족형,3,서울,0.288,0.0544871794871794,0.0,0.0,0.0,0.2403846153846154,0.3205128205128205,0.0961538461538461
8168,3,2,4,3,6,1.0,6,2,2.0,호텔,가족형,2,부산,0.281,0.1582196345270246,0.0,0.0,0.0,0.1753709094735365,0.350741818947073,0.0350741818947073
8170,3,2,2,1,1,1.0,4,3,1.0,숙박하지않음,단체형,1,대구,0.214,0.0714285714285714,0.0,0.0,0.0,0.0,0.7142857142857143,0.0
8171,3,1,3,2,7,7.0,6,2,3.0,호텔,가족형,2,부산,0.504,0.0604838709677419,0.0201612903225806,0.0,0.0,0.2016129032258064,0.2016129032258064,0.0120967741935483
8172,3,2,5,2,4,3.0,5,2,2.0,호텔,가족형,1,부산,0.0,0.0,0.0,0.0,0.7185185185185186,0.0,0.2777777777777777,0.0037037037037037
8173,3,2,5,1,4,3.0,3,2,2.0,호텔,복합형(가족+친구),1,부산,0.014,0.0,0.0,0.0,0.5391061452513968,0.0,0.4469273743016759,0.0
8176,3,2,2,1,6,1.0,6,2,3.0,게스트하우스/호스텔,친구형,3,서울,0.294,0.2170212765957446,0.1106382978723404,0.0,0.0,0.127659574468085,0.2340425531914892,0.0170212765957447
8177,3,1,4,1,5,3.0,4,2,2.0,호텔,복합형(가족+친구),2,부산,0.023,0.0,0.0,0.0,0.5549295774647885,0.0,0.4225352112676059,0.0
8178,3,2,3,1,6,3.0,3,2,2.0,호텔,단체형,1,부산,0.027,0.0,0.0,0.0,0.5540540540540542,0.0,0.4189189189189189,0.0
8180,3,1,3,2,2,4.0,4,3,2.0,호텔,친구형,1,부산,0.169,0.0259740259740259,0.0519480519480519,0.0,0.0,0.2597402597402595,0.4805194805194809,0.012987012987013
8181,3,1,4,2,5,7.0,1,2,2.0,호텔,직장형,1,부산,0.0,0.0,0.0,0.0,0.696113074204947,0.0,0.303886925795053,0.0
8182,3,2,5,3,4,1.0,5,2,2.0,호텔,단체형,2,경북,0.023,0.0,0.0,0.0,0.6709677419354838,0.0,0.3064516129032258,0.0
8183,3,2,5,2,5,3.0,3,2,2.0,호텔,단체형,2,부산,0.01,0.0,0.0,0.0,0.6538461538461539,0.0,0.3356643356643356,0.0
8184,4,1,3,1,1,4.0,6,2,4.0,게스트하우스/호스텔,친구형,4,서울,0.446,0.1692307692307694,0.0923076923076922,0.0,0.0,0.1846153846153844,0.0923076923076922,0.0153846153846154
8185,3,2,3,2,7,4.0,4,2,2.0,호텔,직장형,2,부산,0.045,0.0,0.0,0.0,0.6316639741518578,0.0,0.3231017770597739,0.0
8186,3,2,2,1,6,1.0,1,2,2.0,호텔,친구형,2,경남,0.298,0.0721153846153846,0.0096153846153846,0.0,0.0,0.3365384615384616,0.2644230769230769,0.0192307692307692
8188,2,2,3,2,2,2.0,6,2,2.0,호텔,친구형,1,부산,0.253,0.0189873417721518,0.0,0.0,0.0,0.3481012658227851,0.3797468354430382,0.0
8189,2,2,2,2,6,5.0,5,2,2.0,호텔,친구형,1,부산,0.316,0.0631578947368421,0.0263157894736842,0.0,0.0,0.2526315789473684,0.3263157894736842,0.0157894736842105
8192,2,2,3,2,2,10.0,5,2,2.0,호텔,친구형,2,부산,0.335,0.0456852791878172,0.0,0.0304568527918781,0.0,0.3045685279187817,0.2842639593908629,0.0
8193,2,2,2,2,2,3.0,3,2,2.0,호텔,친구형,1,부산,0.208,0.0277777777777777,0.0,0.0,0.0,0.2777777777777772,0.4861111111111111,0.0
8195,1,2,2,2,7,1.0,1,2,3.0,호텔,친구형,2,부산,0.397,0.1103752759381898,0.0,0.0331125827814569,0.0,0.4415011037527593,0.0,0.0176600441501103
8196,19,2,2,1,6,4.0,3,2,3.0,게스트하우스/호스텔,친구형,3,서울,0.292,0.2999999999999995,0.0916666666666666,0.0,0.0,0.1583333333333338,0.1416666666666666,0.0166666666666666
