아이디,국가별,성별,연령별,한국 방문횟수(카테고리),문1-1. 한국여행 관심 계기_1,문3-1. 고려한 관광활동_1,문3-2. 고려한 관광인프라_1,"문10. 1인 1일 지출경비(상하위 1% 대체, 61일 이상 결측)",문9-3. 총 체재기간_61일 이상 결측,숙박시설_그룹,여행동반자_그룹,방문 지역 수,주요 체재 지역,식비_비율,국내 교통비_비율,체험/활동비_비율,뷰티/의료비_비율,여행 서비스비_비율,숙박비_비율,쇼핑비_비율,기타 비용_비율
8274,18,2,2,1,1,1.0,1,2,4.0,호텔,친구형,3,서울,0.229,0.2010968921389396,0.0914076782449723,0.0,0.0,0.2468007312614262,0.1828153564899455,0.0493601462522852
8275,18,2,2,1,1,1.0,6,1,4.0,게스트하우스/호스텔,가족형,7,서울,0.533,0.0666666666666666,0.0,0.0,0.0,0.4000000000000001,0.0,0.0
8276,16,2,4,3,2,10.0,6,4,1.0,호텔,혼자형,1,서울,0.213,0.2553191489361702,0.0,0.0,0.0,0.3191489361702127,0.2127659574468084,0.0
8279,97,1,4,1,1,10.0,6,3,2.0,호텔,가족형,2,서울,0.382,0.0839694656488548,0.0,0.0,0.0,0.3816793893129772,0.0763358778625952,0.0763358778625952
8280,18,2,3,1,6,4.0,3,4,3.0,호텔,가족형,1,서울,0.159,0.0582010582010582,0.0317460317460317,0.0,0.0,0.5555555555555556,0.1851851851851851,0.0105820105820105
8283,13,1,3,2,3,3.0,6,3,2.0,호텔,직장형,2,부산,0.24,0.1600000000000001,0.0,0.0,0.0,0.3199999999999996,0.2400000000000001,0.0399999999999999
8284,1,2,3,1,6,7.0,2,2,4.0,친척 또는 친구 집,가족형,2,부산,0.189,0.0297297297297297,0.0216216216216215,0.0,0.0,0.0810810810810809,0.6756756756756763,0.0027027027027027
8288,97,2,3,1,7,4.0,5,3,2.0,호텔,가족형,1,서울,0.274,0.0623441396508728,0.0498753117206982,0.0,0.0,0.2119700748129674,0.3740648379052368,0.027431421446384
8289,15,2,6,1,1,4.0,6,3,4.0,호텔,단체형,4,서울,0.062,0.0,0.0,0.0,0.78125,0.0,0.15625,0.0
8290,1,2,2,2,5,3.0,2,2,4.0,친척 또는 친구 집,혼자형,3,서울,0.158,0.0820189274447949,0.0,0.0,0.0,0.1261829652996845,0.6309148264984228,0.0031545741324921
8293,1,2,5,2,4,2.0,3,4,2.0,호텔,혼자형,1,서울,0.072,0.0323741007194244,0.0,0.107913669064748,0.0,0.0575539568345323,0.7194244604316551,0.0107913669064748
8295,1,2,2,1,6,5.0,6,2,2.0,호텔,혼자형,1,서울,0.386,0.0257400257400257,0.0,0.0,0.0,0.5148005148005148,0.0643500643500643,0.009009009009009
8296,15,1,5,1,6,1.0,6,2,4.0,호텔,가족형,3,서울,0.087,0.0086655112651646,0.0346620450606584,0.0,0.6065857885615259,0.0,0.2599653379549388,0.0034662045060658
8297,5,2,2,1,7,5.0,6,2,4.0,호텔,친구형,1,서울,0.288,0.1201923076923077,0.0,0.0,0.0,0.4326923076923077,0.1442307692307692,0.0144230769230769
8298,1,1,6,2,5,2.0,3,4,2.0,모텔/여관,친구형,1,서울,0.06,0.044776119402985,0.0,0.0,0.0,0.5970149253731344,0.2985074626865672,0.0
8299,5,2,2,4,2,2.0,3,3,3.0,호텔,가족형,1,서울,0.126,0.0283018867924528,0.0,0.0,0.0,0.1226415094339622,0.0943396226415096,0.6289308176100625
8302,4,1,2,1,1,3.0,4,2,2.0,기타,혼자형,1,서울,0.4,0.0666666666666666,0.0,0.0,0.0,0.3333333333333333,0.2,0.0
8304,11,2,3,2,6,6.0,6,1,4.0,호텔,가족형,2,서울,0.185,0.074074074074074,0.1111111111111111,0.0,0.0,0.2592592592592592,0.3703703703703703,0.0
8305,10,2,4,1,1,4.0,2,2,4.0,기타,가족형,3,서울,0.24,0.0974440894568689,0.047923322683706,0.0,0.0,0.5591054313099041,0.0399361022364217,0.0159744408945687
8308,10,1,5,3,2,3.0,6,2,3.0,호텔,가족형,2,제주,0.187,0.3183520599250935,0.0168539325842696,0.0,0.0,0.2808988764044947,0.1872659176029961,0.0093632958801498
8310,10,2,5,4,2,2.0,6,4,3.0,호텔,혼자형,1,서울,0.083,0.0833333333333333,0.0,0.0,0.0,0.2777777777777777,0.5555555555555555,0.0
8312,5,2,2,4,6,9.0,2,2,3.0,친척 또는 친구 집,혼자형,1,서울,0.413,0.0619024692207167,0.0,0.0,0.0,0.0412683128138111,0.4814636494944629,0.0026824403328977
8314,10,2,6,3,6,3.0,3,2,3.0,호텔,가족형,1,서울,0.42,0.1,0.0,0.0,0.0,0.4,0.08,0.0
8315,5,1,6,4,6,1.0,3,3,2.0,호텔,가족형,1,서울,0.497,0.0993377483443708,0.0,0.0,0.0,0.1324503311258276,0.2649006622516553,0.0066225165562913
8316,10,2,3,3,4,2.0,5,3,3.0,호텔,가족형,1,서울,0.325,0.024390243902439,0.0,0.0,0.0,0.3252032520325204,0.3252032520325204,0.0
8317,5,2,3,3,6,3.0,2,2,3.0,게스트하우스/호스텔,친구형,2,제주,0.583,0.227405247813411,0.0145772594752186,0.0,0.0,0.1749271137026239,0.0,0.0
8318,4,1,5,1,1,4.0,6,3,2.0,호텔,가족형,1,서울,0.171,0.0427350427350427,0.017094017094017,0.0,0.0,0.5982905982905986,0.1709401709401708,0.0
8319,5,2,5,4,6,2.0,5,2,2.0,호텔,가족형,1,서울,0.139,0.0277777777777777,0.0,0.0,0.0,0.2777777777777773,0.5555555555555561,0.0
8320,10,1,4,2,2,4.0,5,2,4.0,호텔,가족형,1,서울,0.3,0.02,0.0,0.0,0.0,0.48,0.2,0.0
8321,5,1,2,1,1,2.0,6,2,2.0,호텔,친구형,1,서울,0.107,0.135593220338983,0.0,0.0,0.0,0.1920903954802263,0.5649717514124293,0.0
8325,5,2,3,1,1,5.0,1,2,2.0,호텔,친구형,1,서울,0.208,0.0208044382801664,0.1386962552011094,0.0,0.0,0.1789181692094316,0.4160887656033282,0.0374479889042995
8328,5,1,3,1,4,2.0,6,2,2.0,호텔,친구형,1,서울,0.597,0.0578034682080924,0.0096339113680154,0.0,0.0,0.327552986512524,0.0,0.0077071290944123
8329,9,1,1,1,1,1.0,6,3,3.0,호텔,가족형,3,서울,0.299,0.1492537313432835,0.0,0.0,0.0,0.2388059701492537,0.2985074626865671,0.0149253731343283
8331,5,1,4,1,3,10.0,7,2,2.0,호텔,혼자형,1,서울,0.156,0.0888888888888888,0.0,0.0,0.6666666666666666,0.0,0.0888888888888889,0.0
8332,10,1,3,1,1,4.0,3,2,3.0,호텔,가족형,1,서울,0.227,0.0515463917525773,0.0,0.0,0.0,0.4123711340206186,0.309278350515464,0.0
8333,10,1,3,2,2,4.0,2,2,3.0,호텔,친구형,2,서울,0.197,0.0437956204379562,0.0291970802919708,0.0,0.0,0.364963503649635,0.364963503649635,0.0
8334,10,1,3,1,1,6.0,4,2,3.0,호텔,가족형,2,서울,0.297,0.0594059405940594,0.0495049504950495,0.0,0.0,0.3960396039603965,0.1980198019801977,0.0
8335,10,2,1,1,6,10.0,5,2,3.0,호텔,가족형,1,서울,0.399,0.0,0.0066577896138482,0.0,0.0,0.3195739014647136,0.2663115845539281,0.0079893475366178
8337,7,2,2,1,4,1.0,6,1,4.0,호텔,혼자형,2,서울,0.05,0.0746268656716418,0.0,0.0,0.0,0.746268656716418,0.099502487562189,0.0298507462686567
8338,8,2,4,1,6,1.0,6,3,2.0,호텔,직장형,1,서울,0.0,0.0,0.0,0.0,0.8181818181818182,0.0,0.1818181818181818,0.0
8339,7,1,1,1,1,1.0,6,2,2.0,호텔,가족형,2,서울,0.238,0.0,0.0,0.0,0.4761904761904761,0.0,0.2857142857142857,0.0
8341,8,2,3,1,1,4.0,5,2,3.0,호텔,가족형,2,서울,0.105,0.0902255639097744,0.0300751879699248,0.0,0.0,0.5263157894736842,0.225563909774436,0.0225563909774436
8342,10,2,3,1,1,5.0,4,2,2.0,호텔,가족형,3,서울,0.022,0.0,0.0,0.0,0.7858105074090704,0.0,0.1796138302649303,0.0121239335428828
8343,8,2,2,2,3,1.0,1,3,2.0,호텔,직장형,1,서울,0.023,0.0,0.0,0.0,0.9195402298850576,0.0,0.057471264367816,0.0
8344,10,2,2,1,1,2.0,2,2,4.0,게스트하우스/호스텔,단체형,2,서울,0.092,0.1153846153846153,0.0,0.0769230769230769,0.0,0.0769230769230769,0.6153846153846154,0.023076923076923
8345,10,2,2,2,6,9.0,2,2,2.0,호텔,친구형,1,서울,0.135,0.0405405405405405,0.0162162162162162,0.1351351351351351,0.0,0.2297297297297297,0.4054054054054055,0.0378378378378378
8347,8,1,5,1,1,2.0,6,2,2.0,호텔,직장형,2,서울,0.071,0.0,0.0,0.0,0.8571428571428571,0.0,0.0714285714285714,0.0
8348,7,1,3,1,7,10.0,6,2,3.0,호텔,단체형,2,서울,0.125,0.0,0.0,0.0,0.5,0.0,0.375,0.0
8349,8,1,3,1,1,5.0,3,3,2.0,호텔,가족형,1,서울,0.114,0.0,0.0,0.0,0.7727272727272732,0.0,0.1136363636363634,0.0
