아이디,연령별,한국 방문횟수(카테고리),문3-2. 고려한 관광인프라_1,여행동반자_그룹,방문 지역 수,여행 패턴,"문10. 1인 1일 지출경비(상하위 1% 대체, 61일 이상 결측)",문9-3. 총 체재기간_61일 이상 결측,문3-1. 고려한 관광활동_1순위,문1-1. 한국여행 관심 계기_1순위
492,3,3,안전 및 퀄리티,친구형,1,서울 단기형,383.7,4.0,도시 소비형,K-컬처형
493,2,3,여행 편의성,가족형,1,서울 단기형,253.825,4.0,도시 소비형,K-컬처형
494,2,1,여행 편의성,가족형,2,서울 심층형,164.85,8.0,도시 소비형,경험 및 관계
495,3,1,여행 편의성,가족형,1,서울 심층형,199.668181818182,11.0,도시 소비형,K-컬처형
496,5,3,여행 편의성,친구형,1,수도권/지방형(탐험가형),307.666666666667,3.0,도시 소비형,경험 및 관계
498,4,4,안전 및 퀄리티,가족형,2,서울 심층형,127.854166666667,6.0,특수 목적,가성비 및 접근성
500,4,2,안전 및 퀄리티,혼자형,5,서울 심층형,93.2,15.0,"역사, 전통, 자연",가성비 및 접근성
501,3,1,가성비,친구형,1,서울 단기형,365.0,4.0,도시 소비형,가성비 및 접근성
502,3,4,안전 및 퀄리티,혼자형,1,서울 단기형,124.25,4.0,도시 소비형,경험 및 관계
506,2,2,여행 편의성,친구형,2,수도권/지방형(탐험가형),190.28,5.0,도시 소비형,가성비 및 접근성
508,2,1,여행 편의성,가족형,5,서울 심층형,219.635,10.0,"역사, 전통, 자연",경험 및 관계
509,3,1,여행 편의성,친구형,1,수도권/지방형(탐험가형),234.3,4.0,특수 목적,가성비 및 접근성
510,1,1,여행 편의성,가족형,2,서울 심층형,157.0,8.0,도시 소비형,K-컬처형
512,3,2,안전 및 퀄리티,친구형,2,수도권/지방형(탐험가형),273.333333333333,6.0,"역사, 전통, 자연",K-컬처형
513,3,4,여행 편의성,가족형,1,서울 단기형,699.0,5.0,경험형,K-컬처형
516,3,2,여행 편의성,가족형,1,수도권/지방형(탐험가형),284.0,3.0,도시 소비형,경험 및 관계
519,3,2,여행 편의성,혼자형,1,서울 심층형,499.285714285714,7.0,경험형,경험 및 관계
520,5,2,여행 편의성,친구형,1,수도권/지방형(탐험가형),346.656,5.0,"역사, 전통, 자연",경험 및 관계
527,4,1,여행 편의성,복합형(가족+친구),2,수도권/지방형(탐험가형),175.2,5.0,"역사, 전통, 자연",가성비 및 접근성
528,2,1,안전 및 퀄리티,가족형,1,서울 심층형,375.0,12.0,"역사, 전통, 자연",K-컬처형
529,2,1,안전 및 퀄리티,가족형,2,서울 심층형,282.6,6.0,"역사, 전통, 자연",K-컬처형
530,2,3,안전 및 퀄리티,친구형,2,서울 심층형,340.666666666667,6.0,도시 소비형,경험 및 관계
531,3,2,여행 편의성,친구형,1,서울 단기형,720.0,5.0,특수 목적,가성비 및 접근성
532,2,1,여행 편의성,혼자형,2,수도권/지방형(탐험가형),165.856,5.0,"역사, 전통, 자연",K-컬처형
534,3,2,가성비,단체형,3,수도권/지방형(탐험가형),174.616,5.0,도시 소비형,가성비 및 접근성
536,3,1,여행 편의성,가족형,2,수도권/지방형(탐험가형),353.571428571428,7.0,"역사, 전통, 자연",경험 및 관계
544,4,1,여행 편의성,가족형,1,서울 단기형,112.5,5.0,"역사, 전통, 자연",K-컬처형
549,3,1,여행 편의성,친구형,2,수도권/지방형(탐험가형),158.142857142857,7.0,"역사, 전통, 자연",K-컬처형
550,3,1,가성비,단체형,2,수도권/지방형(탐험가형),179.78064,4.0,"역사, 전통, 자연",K-컬처형
554,3,4,여행 편의성,가족형,1,서울 심층형,750.0,7.0,도시 소비형,경험 및 관계
558,2,1,여행 편의성,친구형,2,서울 심층형,149.8172,7.0,"역사, 전통, 자연",K-컬처형
559,5,3,여행 편의성,직장형,2,수도권/지방형(탐험가형),170.791608,5.0,"역사, 전통, 자연",K-컬처형
560,4,4,여행 편의성,가족형,2,서울 단기형,400.52,5.0,도시 소비형,K-컬처형
561,2,2,여행 편의성,친구형,1,서울 단기형,335.8,4.0,특수 목적,K-컬처형
562,3,1,안전 및 퀄리티,가족형,1,서울 심층형,158.823529411765,17.0,특수 목적,K-컬처형
