아이디,성별,연령별,한국 방문횟수(카테고리),문1-1. 한국여행 관심 계기_1,문3-1. 고려한 관광활동_1,문3-2. 고려한 관광인프라_1,숙박시설_그룹,여행동반자_그룹,방문 지역 수,식비_비율,국내 교통비_비율,체험/활동비_비율,뷰티/의료비_비율,여행 서비스비_비율,숙박비_비율,쇼핑비_비율,기타 비용_비율,여행 패턴,"문10. 1인 1일 지출경비(상하위 1% 대체, 61일 이상 결측)",문9-3. 총 체재기간_61일 이상 결측
1853,2,4,1,6,5.0,3,호텔,가족형,2,0.0,0.0,0.0,0.0,0.8006430868167205,0.0,0.1929260450160769,0.0064308681672025,서울 단기형,287.473333333333,5.0
1856,1,5,1,3,1.0,6,호텔,가족형,1,0.0,0.0,0.0,0.0,0.9836065573770492,0.0,0.0163934426229508,0.0,서울 단기형,960.0,4.0
1857,1,3,1,6,5.0,6,호텔,가족형,2,0.0,0.0057803468208092,0.0,0.0,0.6936416184971097,0.0,0.2890173410404625,0.0115606936416184,서울 단기형,236.47,5.0
1860,1,2,1,7,4.0,5,호텔,가족형,2,0.051,0.0764006791171477,0.0,0.0,0.0,0.1697792869269953,0.6791171477079792,0.0237691001697793,서울 심층형,240.973333333333,12.0
1861,2,3,4,2,1.0,4,호텔,혼자형,1,0.157,0.0142857142857142,0.0,0.0,0.3333333333333333,0.0,0.4761904761904761,0.019047619047619,서울 단기형,357.0,4.0
1862,1,5,1,3,3.0,5,콘도미니엄/리조트,가족형,2,0.202,0.0202020202020202,0.1717171717171718,0.0,0.0,0.6060606060606059,0.0,0.0,수도권/지방형(탐험가형),375.542857142857,7.0
1863,1,2,2,5,9.0,3,호텔,친구형,1,0.176,0.028169014084507,0.352112676056338,0.0,0.0,0.2112676056338028,0.2112676056338028,0.0211267605633802,서울 단기형,401.2,3.0
1864,2,2,1,1,1.0,6,호텔,친구형,1,0.255,0.0612244897959183,0.0408163265306122,0.0,0.0,0.4081632653061224,0.2040816326530612,0.0306122448979592,서울 단기형,358.512,5.0
1868,2,3,4,2,2.0,2,호텔,친구형,1,0.24,0.08,0.0,0.0,0.0,0.2399999999999997,0.4,0.04,서울 단기형,314.202,5.0
1872,2,3,4,2,2.0,4,호텔,친구형,1,0.25,0.2187499999999999,0.0,0.0,0.0,0.2187500000000002,0.3124999999999997,0.0,서울 단기형,329.164,5.0
1873,1,2,4,2,9.0,6,게스트하우스/호스텔,가족형,1,0.221,0.025735294117647,0.0,0.0,0.0,0.3676470588235294,0.3676470588235294,0.0183823529411764,서울 심층형,274.303333333333,6.0
1874,1,3,1,1,10.0,5,게스트하우스/호스텔,가족형,1,0.216,0.0123456790123457,0.0,0.0,0.0,0.1543209876543214,0.6172839506172833,0.0,서울 심층형,504.9675,6.0
1875,1,5,2,2,4.0,5,호텔,가족형,2,0.274,0.0228310502283105,0.0,0.0,0.0,0.2283105022831056,0.4566210045662102,0.0182648401826483,수도권/지방형(탐험가형),224.43,6.0
1877,2,2,3,5,2.0,4,민박/펜션,친구형,1,0.3,0.0454545454545454,0.0,0.0,0.0,0.3636363636363637,0.2727272727272727,0.0181818181818181,서울 심층형,127.9,8.0
1878,2,3,4,6,5.0,5,호텔,혼자형,1,0.065,0.016260162601626,0.1219512195121948,0.0,0.3008130081300813,0.0,0.4878048780487806,0.008130081300813,서울 단기형,524.39,3.0
1880,1,3,3,7,1.0,1,호텔,가족형,1,0.238,0.0380952380952381,0.0,0.0952380952380952,0.0,0.1428571428571428,0.4761904761904763,0.0095238095238095,서울 심층형,277.116666666667,6.0
1882,2,3,1,7,9.0,6,게스트하우스/호스텔,가족형,1,0.207,0.4149377593360997,0.0,0.0,0.0,0.1037344398340247,0.2074688796680498,0.0663900414937757,서울 심층형,211.4,6.0
1885,2,2,1,1,10.0,6,친척 또는 친구 집,친구형,2,0.0,0.0347826086956521,0.0,0.0,0.0,0.0869565217391304,0.8695652173913042,0.008695652173913,수도권/지방형(탐험가형),101.717540816327,49.0
1887,2,3,1,1,1.0,6,호텔,혼자형,2,0.188,0.1704545454545454,0.0,0.0568181818181818,0.0,0.3409090909090909,0.2272727272727272,0.0170454545454545,수도권/지방형(탐험가형),460.0,6.0
1888,1,5,1,1,1.0,6,게스트하우스/호스텔,가족형,1,0.265,0.0370801991736412,0.0,0.0,0.0,0.264858565526009,0.4237737048416148,0.0094289649327259,서울 심층형,105.7,11.0
1903,2,2,1,7,4.0,4,호텔,혼자형,3,0.098,0.1300813008130083,0.0,0.0,0.0,0.4878048780487798,0.2439024390243903,0.040650406504065,서울 심층형,239.184,10.0
1905,2,4,4,2,7.0,5,호텔,혼자형,2,0.196,0.0196078431372548,0.0,0.3921568627450982,0.0,0.2614379084967317,0.1176470588235293,0.0130718954248365,서울 심층형,274.193548387097,31.0
1906,1,2,1,1,10.0,3,호텔,가족형,1,0.227,0.0909090909090909,0.0,0.0,0.0,0.2727272727272727,0.409090909090909,0.0,서울 심층형,139.474422222222,9.0
1908,2,2,2,2,9.0,2,호텔,가족형,1,0.481,0.0277777777777777,0.0,0.0,0.0,0.2777777777777772,0.1851851851851852,0.0277777777777777,서울 단기형,369.197,3.0
1909,2,3,1,7,2.0,3,호텔,가족형,1,0.008,0.0016774193548387,0.0,0.0032258064516129,0.0,0.0193548387096774,0.9677419354838708,0.000258064516129,서울 심층형,1687.5,11.0
